Release,Order,NR,NREF,NFIX,NAUTH,LINES_SUM,LINES_MAX,LINES_AVG,CHURN_SUM,CHURN_MAX,CHURN_AVG,CHGSET_SUM,CHGSET_MAX,CHGSET_AVG,AGE,AGE_WEIGHTED,Impl,LOC.A,LOC.M,LOC.D,Violations,Faultiness
100,FIRST,3,0,1,1,14,7,7,14,7,7,18,7,6,25,NA,2,14,2,0,43,FALSE
100,FIRST,4,0,4,1,0,0,0,0,0,0,27,11,6,25,NA,0,0,0,0,5,TRUE
100,FIRST,30,0,18,1,484,201,39,450,167,37,141,11,4,25,NA,12,467,107,17,86,TRUE
100,FIRST,5,0,3,1,27,14,13,27,14,13,23,8,4,25,NA,2,27,0,0,59,FALSE
100,FIRST,16,0,10,4,84,70,13,-30,-42,-5,118,26,7,25,NA,6,27,26,57,0,FALSE
100,FIRST,14,0,7,4,316,269,45,-176,-181,-25,111,26,7,24,NA,7,70,91,246,0,TRUE
100,FIRST,9,0,5,2,37,27,8,31,21,8,52,26,5,24,NA,4,34,25,3,70,TRUE
100,FIRST,8,0,4,3,90,72,22,54,36,14,80,26,10,24,NA,4,72,4,18,0,FALSE
100,FIRST,17,0,5,3,149,82,11,135,70,11,58,14,3,24,NA,12,142,37,7,0,FALSE
100,FIRST,6,0,1,1,45,18,9,45,18,9,32,14,5,24,NA,5,45,6,0,0,FALSE
100,FIRST,7,0,4,1,45,20,15,45,20,15,22,6,3,23,NA,3,45,0,0,110,FALSE
100,FIRST,4,0,1,2,5,5,1,5,5,1,40,29,10,23,NA,3,5,7,0,0,FALSE
100,FIRST,3,0,3,2,0,0,0,0,0,0,6,3,2,23,NA,0,0,0,0,78,FALSE
100,FIRST,6,0,1,2,31,18,6,31,18,6,29,11,4,23,NA,5,31,8,0,66,FALSE
100,FIRST,6,0,2,2,12,8,3,12,8,3,10,2,1,23,NA,4,12,10,0,95,TRUE
100,FIRST,14,0,4,3,170,51,17,170,51,17,112,26,7,23,NA,10,170,19,0,0,TRUE
100,FIRST,12,0,4,1,275,137,34,179,81,22,36,6,2,23,NA,8,227,43,48,64,TRUE
100,FIRST,5,0,1,3,7,3,1,5,1,1,46,29,7,23,NA,4,6,2,1,39,TRUE
100,FIRST,12,0,8,4,21,13,5,5,1,1,48,10,3,23,NA,4,13,3,8,0,FALSE
100,FIRST,4,0,4,3,0,0,0,0,0,0,24,8,4,23,NA,0,0,0,0,0,FALSE
100,FIRST,2,0,0,3,52,52,26,52,52,26,13,8,4,23,NA,2,52,1,0,5,FALSE
100,FIRST,9,0,3,2,45,36,7,45,36,7,89,26,9,23,NA,6,45,5,0,0,TRUE
100,FIRST,1,0,1,1,0,0,0,0,0,0,5,5,5,23,NA,0,0,0,0,33,FALSE
100,FIRST,1,0,0,1,37,37,37,37,37,37,3,3,3,22,NA,1,37,1,0,17,TRUE
100,FIRST,2,0,1,2,0,0,0,0,0,0,9,5,4,22,NA,1,0,1,0,0,FALSE
100,FIRST,3,0,2,2,21,21,21,-5,-5,-5,10,5,3,22,NA,1,8,15,13,0,FALSE
100,FIRST,2,0,1,2,0,0,0,0,0,0,15,8,7,22,NA,1,0,5,0,0,FALSE
100,FIRST,3,0,1,3,2,2,0,0,0,0,25,10,8,22,NA,2,1,8,1,0,FALSE
100,FIRST,6,0,2,2,78,74,18,40,36,10,30,10,5,22,NA,4,59,75,19,15,FALSE
100,FIRST,2,0,1,2,0,0,0,0,0,0,37,29,18,22,NA,1,0,1,0,7,FALSE
100,FIRST,5,0,1,3,229,201,56,33,39,8,17,8,3,22,NA,4,131,65,98,0,FALSE
100,FIRST,4,0,1,3,27,27,9,-9,-9,-3,16,8,4,22,NA,3,9,6,18,0,FALSE
100,FIRST,7,0,1,2,31,23,4,11,5,2,18,8,2,22,NA,6,21,15,10,16,FALSE
100,FIRST,2,0,2,1,0,0,0,0,0,0,12,8,6,22,NA,0,0,0,0,0,FALSE
100,FIRST,2,0,2,1,0,0,0,0,0,0,12,8,6,22,NA,0,0,0,0,0,FALSE
100,FIRST,9,0,8,2,0,0,0,0,0,0,62,20,6,22,NA,1,0,2,0,0,TRUE
100,FIRST,1,0,0,1,27,27,27,27,27,27,2,2,2,22,NA,1,27,1,0,19,FALSE
100,FIRST,7,0,1,2,178,91,29,88,19,15,31,7,4,22,NA,6,133,80,45,211,FALSE
100,FIRST,10,0,5,3,96,78,18,92,74,18,35,10,2,22,NA,5,94,32,2,0,TRUE
100,FIRST,4,0,2,2,9,9,4,9,9,4,15,5,3,22,NA,2,9,6,0,0,FALSE
100,FIRST,2,0,2,1,0,0,0,0,0,0,9,6,4,21,NA,0,0,0,0,33,FALSE
100,FIRST,5,0,1,2,9,9,2,-9,-9,-2,26,10,5,21,NA,4,0,12,9,0,FALSE
100,FIRST,6,0,1,3,1,1,0,1,1,0,36,10,6,21,NA,5,1,11,0,0,FALSE
100,FIRST,8,0,0,2,101,54,12,33,6,4,39,10,4,21,NA,8,67,73,34,30,FALSE
100,FIRST,16,0,0,2,218,62,13,22,-14,1,79,11,4,21,NA,16,120,186,98,31,FALSE
100,FIRST,6,0,0,2,81,72,13,9,0,1,37,11,6,21,NA,6,45,15,36,0,FALSE
100,FIRST,2,0,1,2,0,0,0,0,0,0,23,20,11,21,NA,1,0,1,0,0,FALSE
100,FIRST,1,0,0,1,72,72,72,0,0,0,29,29,29,21,NA,1,36,9,36,0,FALSE
100,FIRST,1,0,0,1,0,0,0,0,0,0,29,29,29,21,NA,1,0,24,0,0,FALSE
100,FIRST,2,0,0,2,16,16,7,2,2,1,47,29,23,21,NA,2,9,4,7,0,FALSE
100,FIRST,2,0,0,2,9,9,4,9,9,4,40,29,20,21,NA,2,9,28,0,0,FALSE
100,FIRST,5,0,2,3,16,14,5,4,2,1,58,29,11,21,NA,3,10,6,6,0,FALSE
100,FIRST,1,0,0,1,1,1,1,1,1,1,29,29,29,21,NA,1,1,0,0,25,FALSE
100,FIRST,3,0,0,3,19,16,6,7,4,2,58,29,19,21,NA,3,13,4,6,0,FALSE
100,FIRST,1,0,0,1,2,2,2,2,2,2,29,29,29,21,NA,1,2,0,0,65,FALSE
100,FIRST,1,0,0,1,1,1,1,1,1,1,29,29,29,21,NA,1,1,0,0,29,FALSE
100,FIRST,4,0,2,2,0,0,0,0,0,0,40,29,10,21,NA,2,0,30,0,0,FALSE
100,FIRST,3,0,0,2,35,30,11,9,8,3,48,29,16,21,NA,3,22,13,13,0,FALSE
100,FIRST,1,0,1,1,0,0,0,0,0,0,5,5,5,20,NA,0,0,0,0,63,FALSE
100,FIRST,1,0,1,1,0,0,0,0,0,0,4,4,4,20,NA,0,0,0,0,76,FALSE
100,FIRST,11,0,0,1,143,64,12,135,58,12,31,10,2,19,NA,11,139,24,4,12,FALSE
100,FIRST,9,0,0,3,375,364,40,-1,-6,0,62,18,6,19,NA,9,187,35,188,0,FALSE
100,FIRST,2,0,1,1,0,0,0,0,0,0,4,3,2,19,NA,1,0,1,0,0,FALSE
100,FIRST,1,0,0,1,1,1,1,1,1,1,11,11,11,19,NA,1,1,0,0,41,FALSE
100,FIRST,3,0,2,2,0,0,0,0,0,0,28,14,9,19,NA,1,0,1,0,0,FALSE
100,FIRST,1,0,0,2,0,0,0,0,0,0,13,11,6,19,NA,1,0,1,0,0,FALSE
100,FIRST,2,0,1,2,5,5,5,5,5,5,16,11,8,19,NA,1,5,0,0,70,FALSE
100,FIRST,1,0,0,2,0,0,0,0,0,0,13,11,6,19,NA,1,0,1,0,0,FALSE
100,FIRST,1,0,1,1,0,0,0,0,0,0,3,3,3,19,NA,0,0,0,0,125,FALSE
100,FIRST,3,0,0,1,20,19,6,18,17,6,15,7,5,19,NA,3,19,19,1,47,FALSE
100,FIRST,4,0,4,1,0,0,0,0,0,0,4,1,1,19,NA,0,0,0,0,9,TRUE
100,FIRST,1,0,1,1,0,0,0,0,0,0,1,1,1,19,NA,0,0,0,0,61,FALSE
100,FIRST,3,0,2,2,0,0,0,0,0,0,10,5,3,18,NA,1,0,1,0,0,FALSE
100,FIRST,2,0,2,1,0,0,0,0,0,0,2,1,1,18,NA,0,0,0,0,64,FALSE
100,FIRST,5,0,3,2,0,0,0,0,0,0,16,10,3,17,NA,2,0,5,0,0,TRUE
100,FIRST,2,0,1,1,0,0,0,0,0,0,9,7,4,17,NA,1,0,9,0,24,FALSE
100,FIRST,3,0,2,2,59,59,59,9,9,9,9,5,3,14,NA,1,34,10,25,80,FALSE
100,FIRST,1,0,1,1,0,0,0,0,0,0,1,1,1,10,NA,0,0,0,0,38,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,16,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,17,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,15,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,15,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,15,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,18,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,2,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,1,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,16,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,FALSE
